ItemCode,AlternateItemCode,StyleCode,ProductType,Description,SubDescription,Measure,TillDescription,SuspendDate,DepartmentCode,SectionCode,SubSectionCode,ModelCode,SupplierCode,SupplierReference,LeadTime,PackSize,DirectDelivery,PrimaryBarcode,SeasonCode,BrandCode,RangeCode,StockGroupCode,ConcessionCode,PosGroupCode,StockCategoryCode1,StockCategoryCode2,AttributeGroup 1,AttributeCode 1,RangeCode1,RangeDetail1,RangeCode2,RangeDetail2,RangeCode3,RangeDetail3
1000020001,1000020001,100002,UNIT,MENS TSHIRT,BLUE,QUANTITY,,31/05/2022,T01,,,,JW01,,7,1,N,2.11E+12,,,,,,1,,,,,COLOUR,BLUE,,,,
1000030001,1000030001,100003,UNIT,WOMENS,BLUE,QUANTITY,,31/05/2022,T01,,,,JW01,,7,1,N,2.11E+12,,,,,,1,,,,,COLOUR,BLUE,,,,
1000030002,1000030002,100003,UNIT,WOMENS,RED,QUANTITY,,31/05/2022,T01,,,,JW01,,7,1,N,2.11E+12,,,,,,1,,,,,COLOUR,RED,,,,
1000030003,1000030003,100003,UNIT,WOMENS,GREEN,QUANTITY,,31/05/2022,T01,,,,JW01,,7,1,N,2.11E+12,,,,,,1,,,,,COLOUR,GREEN,,,,
1000040001,1000040001,100004,UNIT,AW21 11.1124 HOODED JACKET,Beige/18,QUANTITY,AW21 11.1124 Hooded Jacket Beige/18,,3,41,310,,80294,2231143,30,1,N,2231143,221,FRN,,,,1,,,,,COLOUR,Beige,SIZE ,18,,
1000050001,1000050001,100005,UNIT,AW21 17.8104 LONG GREY QUILTED HOODED COAT,Grey/20,QUANTITY,AW21 17.8104 Long Grey Quilted Grey/20,,3,41,310,,80294,2231334,30,1,N,2231334,221,FRN,,,,1,,,,,COLOUR,Grey,SIZE ,20,,
1000060001,1000060001,100006,UNIT,AW21 19.358218 SHORT PADDED JACKET,RED/16,QUANTITY,AW21 19.358218 Short Padded Ja RED/16,,3,41,310,,80294,2231495,30,1,N,2231495,221,,,,,1,,,,,COLOUR,RED,SIZE ,16,,
1000060002,1000060002,100006,UNIT,AW21 19.358218 SHORT PADDED JACKET,RED/20,QUANTITY,AW21 19.358218 RED\20,,3,41,310,,80294,2231518,30,1,N,2231518,221,,,,,1,,,,,COLOUR,RED,SIZE ,20,,
1000070001,1000070001,100007,UNIT,SS21 3284 SHORT HOODED JACKET,Beige/20,QUANTITY,SS21 3284 Short Hooded Jacket Beige/20,,3,41,311,,80294,2155203,30,1,N,2155203,121,FRN,,,,1,,,,,COLOUR,Beige,SIZE ,20,,
1000070002,1000070002,100007,UNIT,SS21 3284 SHORT HOODED JACKET,Turquoise/20,QUANTITY,SS21 3284 Short Hooded Jacket Turquoise/20,,3,41,311,,80294,2155210,30,1,N,2155210,121,FRN,,,,1,,,,,COLOUR,Turquoise,SIZE ,20,,
1000080001,1000080001,100008,UNIT,SS21 5002 LAMINATED HOODED JKT,Navy/14,QUANTITY,SS21 5002 Navy/14,,3,41,311,,80294,2158822,30,1,N,5.05709E+12,,FRN,,,,1,,,,,COLOUR,Navy,SIZE ,14,,
1000090001,1000090001,100009,UNIT,SS21 1112-19 NORMAN COAT W/PRINTED LINING,White/14,QUANTITY,SS21 1112-19 Norman Coat W/Pri White/14,,3,41,310,,80324,2150369,30,1,N,5.70945E+12,121,GOD,,,,1,,,,,COLOUR,White,SIZE ,14,,
1000100001,1000100001,100010,UNIT,SS20 2051-118 RSPL JACKET,BLUE/12,QUANTITY,SS20 2051-118 BLUE/12,,3,41,311,,80324,2087917,30,1,N,5.70944E+12,,GOD,,,,1,,,,,COLOUR,BLUE,SIZE ,12,,
1000110001,1000110001,100011,UNIT,AW21 N1724 SATIN WITH HOOD,Navy/12,QUANTITY,AW21 N1724 Satin With Hood Navy/12,,3,41,311,,80324,2238296,30,1,N,5.70944E+12,221,,,,,1,,,,,COLOUR,Navy,SIZE ,12,,
1000110002,1000110002,100011,UNIT,AW21 N1724 SATIN WITH HOOD,Navy/14,QUANTITY,AW21 N1724 Satin With Hood Navy/14,,3,41,311,,80324,2238302,30,1,N,5.70944E+12,221,,,,,1,,,,,COLOUR,Navy,SIZE ,14,,
1000110003,1000110003,100011,UNIT,AW21 N1724 SATIN WITH HOOD,Navy/16,QUANTITY,AW21 N1724 SATIN WITH HOOD NAVY\16,,3,41,311,,80324,2238319,30,1,N,5.70944E+12,221,,,,,1,,,,,COLOUR,Navy,SIZE ,16,,
1000120001,1000120001,100012,UNIT,AW21 F346 REVERSIBLE WITH HOOD,White/20,QUANTITY,AW21 F346 Reversible With Hood White/20,,3,41,311,,80324,2238432,30,1,N,5.70945E+12,221,,,,,1,,,,,COLOUR,White,SIZE ,20,,
1000120002,1000120002,100012,UNIT,AW21 F346 REVERSIBLE WITH HOOD,White/12,QUANTITY,AW21 F346 WHITE\12,,3,41,311,,80324,2238340,30,1,N,5.70945E+12,221,,,,,1,,,,,COLOUR,White,SIZE ,12,,
1000120003,1000120003,100012,UNIT,AW21 F346 REVERSIBLE WITH HOOD,White/14,QUANTITY,AW21 F346 WHITE\14,,3,41,311,,80324,2238357,30,1,N,5.70945E+12,221,,,,,1,,,,,COLOUR,White,SIZE ,14,,
1000140001,1000140001,100014,UNIT,PALE PINK 500ML SPORT BOTTLE,0/O/S,QUANTITY,Pale Pink 500Ml Sport Bottle 0/O/S,,21,411,624,,80845,2082028,30,1,N,5.01448E+12,1,AIS,,,,1,,,,,COLOUR,0,SIZE ,O/S,,
1000150001,1000150001,100015,UNIT,"8"" PASTA BOWL R/GLAZE PASTELS",0/O/S,QUANTITY,"8"" Pasta Bowl R/Glaze Pastels 0/O/S",,21,413,640,,80845,2081793,30,1,N,5.01448E+12,1,AIS,,,,1,,,,,COLOUR,0,SIZE ,O/S,,
1000180001,1000180001,100018,UNIT,SIMPLY HOME AMALFI GREY/CREAM MUG 12OZ,0/O/S,QUANTITY,S/Home Amalfi Grey/Cream Mug 0/O/S,,21,413,642,,80845,2108391,30,1,N,5.01448E+12,1,AIS,,,,1,,,,,COLOUR,0,SIZE ,O/S,,
1000200001,1000200001,100020,UNIT,SS21 6127 MARCUS SS COTTON SUMMER CHECK SHIRT,Grey/M,QUANTITY,SS21 6127 Marcus SS Check Shrt Grey/M,,8,525,700,,80845,2188027,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Grey,SIZE ,M,,
1000200002,1000200002,100020,UNIT,SS21 6127 MARCUS SS COTTON SUMMER CHECK SHIRT,Grey/XXL,QUANTITY,SS21 6127 MARCUS GREY\2XL,,8,525,700,,80845,2188058,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Grey,SIZE ,XXL,,
1000210001,1000210001,100021,UNIT,SS21 6128 AUSTIN SS COTTON SEERSUCKER CHECK SHIRT,Navy/XL,QUANTITY,SS21 6128 Austin SS Check Shrt Navy/XL,,8,525,700,,80845,2188096,30,1,N,5.05709E+12,121,AIS,,,,1,,,,,COLOUR,Navy,SIZE ,XL,,
1000210002,1000210002,100021,UNIT,SS21 6128 AUSTIN SS COTTON SEERSUCKER CHECK SHIRT,Navy/L,QUANTITY,SS21 6128 Austin SS Check Shrt Navy/L,,8,525,700,,80845,2188089,30,1,N,5.05709E+12,121,AIS,,,,1,,,,,COLOUR,Navy,SIZE ,L,,
1000210003,1000210003,100021,UNIT,SS21 6128 AUSTIN SS COTTON SEERSUCKER CHECK SHIRT,Tan/L,QUANTITY,SS21 6128 Austin SS Check Shrt Tan/L,,8,525,700,,80845,2188133,30,1,N,5.05709E+12,121,AIS,,,,1,,,,,COLOUR,Tan,SIZE ,L,,
1000220001,1000220001,100022,UNIT,SS21 6129 CONNETICUT SS LINEN/COTTON CHECK SHIRT,Navy/XL,QUANTITY,SS21 6129 Conneticut SS Shirt Navy/XL,,8,525,700,,80845,2188348,30,1,N,5.05709E+12,121,AIS,,,,1,,,,,COLOUR,Navy,SIZE ,XL,,
1000220002,1000220002,100022,UNIT,SS21 6129 CONNETICUT SS LINEN/COTTON CHECK SHIRT,Coral/L,QUANTITY,SS21 6129 Conneticut SS Shirt Coral/L,,8,525,700,,80845,2188386,30,1,N,5.05709E+12,121,AIS,,,,1,,,,,COLOUR,Coral,SIZE ,L,,
1000230001,1000230001,100023,UNIT,SS21 6116 SS21POP001 LS COTTON CLASSIC SEMI FORMAL SHIRT,Coral/S,QUANTITY,SS21 6116 SS21Pop001 Ls Shirt Coral/S,,8,525,700,,80845,2189413,30,1,N,5.05709E+12,121,AIS,,,,1,,,,,COLOUR,Coral,SIZE ,S,,
1000240001,1000240001,100024,UNIT,SS21 6119 SS21POP005 SS SHIRT,BLUE/L,QUANTITY,SS21 6119 SS21Pop005 BLUE/L,,8,525,700,,80845,2189338,30,1,N,5.05709E+12,,AIS,,,,1,,,,,COLOUR,BLUE,SIZE ,L,,
1000260001,1000260001,100026,UNIT,AW21 7001 AIS022 LS BRUSHED TEXTURED SHIRT,Navy/S,QUANTITY,AW21 7001 Ais022 Ls B/Tex Sht Navy/S,,8,525,700,,80845,2223513,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Navy,SIZE ,S,,
1000260002,1000260002,100026,UNIT,AW21 7001 AIS022 LS BRUSHED TEXTURED SHIRT,Grey/M,QUANTITY,AW21 7001 AIS022 GREY\M,,8,525,700,,80845,2223896,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Grey,SIZE ,M,,
1000260003,1000260003,100026,UNIT,AW21 7001 AIS022 LS BRUSHED TEXTURED SHIRT,BLUE/M,QUANTITY,AW21 7001 AIS022 BLUE\M,,8,525,700,,80845,2223575,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,BLUE,SIZE ,M,,
1000260004,1000260004,100026,UNIT,AW21 7001 AIS022 LS BRUSHED TEXTURED SHIRT,BLUE/XL,QUANTITY,AW21 7001 AIS022 BLUE\XL,,8,525,700,,80845,2223599,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,BLUE,SIZE ,XL,,
1000260005,1000260005,100026,UNIT,AW21 7001 AIS022 LS BRUSHED TEXTURED SHIRT,Turquoise/XL,QUANTITY,AW21 7001 AIS022 TURQ\XL,,8,525,700,,80845,2223643,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Turquoise,SIZE ,XL,,
1000270001,1000270001,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,Grey/M,QUANTITY,AW21 7002 Alan Ls S/Formal Sht Grey/M,,8,525,700,,80845,2224596,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Grey,SIZE ,M,,
1000270002,1000270002,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,BLUE/M,QUANTITY,AW21 7002 ALAN BLUE\M,,8,525,700,,80845,2224749,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,BLUE,SIZE ,M,,
1000270003,1000270003,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,Navy/M,QUANTITY,AW21 7002 ALAN NAVY\M,,8,525,700,,80845,2224695,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Navy,SIZE ,M,,
1000270004,1000270004,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,BLUE/L,QUANTITY,AW21 7002 ALAN BLUE\L,,8,525,700,,80845,2224756,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,BLUE,SIZE ,L,,
1000270005,1000270005,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,Grey/L,QUANTITY,AW21 7002 ALAN GREY\L,,8,525,700,,80845,2224602,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Grey,SIZE ,L,,
1000270006,1000270006,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,BLUE/XL,QUANTITY,AW21 7002 ALAN BLUE\XL,,8,525,700,,80845,2224763,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,BLUE,SIZE ,XL,,
1000270007,1000270007,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,Grey/XL,QUANTITY,AW21 7002 ALAN GREY\XL,,8,525,700,,80845,2224619,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Grey,SIZE ,XL,,
1000270008,1000270008,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,Navy/XL,QUANTITY,AW21 7002 ALAN NAVY\XL,,8,525,700,,80845,2224718,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Navy,SIZE ,XL,,
1000270009,1000270009,100027,UNIT,AW21 7002 ALAN LS SEMI FORMAL SHIRT,Grey/XXL,QUANTITY,AW21 7002 ALAN GREY\2XL,,8,525,700,,80845,2224626,30,1,N,5.05795E+12,221,,,,,1,,,,,COLOUR,Grey,SIZE ,XXL,,
1000290001,1000290001,100029,UNIT,AW21 7028 STYLE02 SS PIQUE POLO SHIRT,Dkred/XL,QUANTITY,AW21 7028 Style02 SS Pique Pol Dkred/XL,,8,525,701,,80845,2223278,30,1,N,5.05795E+12,221,AIS,,,,1,,,,,COLOUR,Dkred,SIZE ,XL,,
1000310001,1000310001,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Beige/S,QUANTITY,SS21 6145 Teddy Vneck Pullover Beige/S,,8,525,702,,80845,2188515,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Beige,SIZE ,S,,
1000310003,1000310003,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Navy/L,QUANTITY,SS21 6145 Teddy Vneck Pullover Navy/L,,8,525,702,,80845,2188430,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Navy,SIZE ,L,,
1000310004,1000310004,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Olive/L,QUANTITY,SS21 6145 Teddy Olive/L,,8,525,702,,80845,2188782,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Olive,SIZE ,L,,
1000310005,1000310005,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Orange/L,QUANTITY,SS21 6145 Teddy Orange/L,,8,525,702,,80845,2188485,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Orange,SIZE ,L,,
1000310006,1000310006,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Beige/XXL,QUANTITY,SS21 6145 TEDDY BEIGE\2XL,,8,525,702,,80845,2188553,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Beige,SIZE ,XXL,,
1000310007,1000310007,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Navy/S,QUANTITY,,,8,525,702,,80845,2188485,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Navy,SIZE ,S,,
1000310008,1000310008,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Navy/M,QUANTITY,,,8,525,702,,80845,2188485,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Navy,SIZE ,M,,
1000310009,1000310009,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Navy/XL,QUANTITY,,,8,525,702,,80845,2188485,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Navy,SIZE ,XL,,
1000310010,1000310010,100031,UNIT,SS21 6145 TEDDY COTTON VNECK FINE GAUGE PULLOVER,Navy/XXL,QUANTITY,,,8,525,702,,80845,2188485,30,1,N,5.05709E+12,121,,,,,1,,,,,COLOUR,Navy,SIZE ,XXL,,
1000320001,1000320001,100032,UNIT,AW21 7009 JUDE COTTON SLIPOVER,Navy/M,QUANTITY,AW21 7009 Jude Navy/M,,8,525,702,,80845,2223995,30,1,N,5.05795E+12,,AIS,,,,1,,,,,COLOUR,Navy,SIZE ,M,,
1000320002,1000320002,100032,UNIT,AW21 7009 JUDE COTTON SLIPOVER,Navy/L,QUANTITY,AW21 7009 Jude Navy/L,,8,525,702,,80845,2224008,30,1,N,5.05795E+12,,AIS,,,,1,,,,,COLOUR,Navy,SIZE ,L,,
1000320004,1000320004,100032,UNIT,AW21 7009 JUDE COTTON SLIPOVER,Navy/XXL,QUANTITY,AW21 7009 Jude Navy/XXL,,8,525,702,,80845,2224022,30,1,N,5.05795E+12,,AIS,,,,1,,,,,COLOUR,Navy,SIZE ,XXL,,
1000340001,1000340001,100034,UNIT,AW21 7013 STYLE101 COTTON CREW NECK RIB PULLOVER,Orange/M,QUANTITY,AW21 7013 Style101 Rib Pullove Orange/M,,8,525,702,,80845,2224299,30,1,N,5.05795E+12,221,AIS,,,,1,,,,,COLOUR,Orange,SIZE ,M,,
1000350001,1000350001,100035,UNIT,SS19 WHITNEY DIAMONTE & FEATHER CLIP,Asstd/O/S,QUANTITY,SS19 Whitney Diamonte /Feather ASStd/O/S,,1,3,130,,80854,1863468,30,1,N,1863468,119,BOA,,,,1,,,,,COLOUR,Asstd,SIZE ,O/S,,
1000360001,1000360001,100036,UNIT,AW20 CHILTON FLEECE CUFF HAT,Black/O/S,QUANTITY,AW20 Chilton Black/O/S,,1,3,131,,80854,2090016,30,1,N,2090016,,BOA,,,,1,,,,,COLOUR,Black,SIZE ,O/S,,
1000370001,1000370001,100037,UNIT,AW21 ROXY RIBBED COLOURBLOCK BEANIE,Asstd/O/S,QUANTITY,AW21 Roxy Ribbed Beanie ASStd/O/S,,1,3,131,,80854,2192277,30,1,N,2192277,221,BOA,,,,1,,,,,COLOUR,Asstd,SIZE ,O/S,,
1000380001,1000380001,100038,UNIT,AW21 FLEUR KNITTED TURN UP BEANIE,Lilac/O/S,QUANTITY,AW21 Fleur Knitted Beanie Lilac/O/S,,1,3,131,,80854,2192284,30,1,N,2192284,221,BOA,,,,1,,,,,COLOUR,Lilac,SIZE ,O/S,,
1000390001,1000390001,100039,UNIT,AW21 PENNY KNITTED FAUX FUR POM HAT,Pink/O/S,QUANTITY,AW21 Penny Knitted Pom Hat Pink/O/S,,1,3,131,,80854,2192291,30,1,N,2192291,221,BOA,,,,1,,,,,COLOUR,Pink,SIZE ,O/S,,
1000400001,1000400001,100040,UNIT,AW21 HARRIS TWEED BAKERBOY,Asstd/O/S,QUANTITY,AW21 Harris Tweed Bakerboy ASStd/O/S,,1,3,131,,80854,2192345,30,1,N,2192345,221,BOA,,,,1,,,,,COLOUR,Asstd,SIZE ,O/S,,
1000410001,1000410001,100041,UNIT,AW21 CARLA KNITTED PEARL DIAMONTE GLOVE,Lilac/O/S,QUANTITY,AW21 Carla Knitted Pearl Glove Lilac/O/S,,1,9,193,,80854,2192437,30,1,N,2192437,221,BOA,,,,1,,,,,COLOUR,Lilac,SIZE ,O/S,,
